일시,연월,월일,요일,시간대,기온(도),습도(%),불쾌지수
2019-01-01 12:00:00,2019-01,01-01,화,12,-2.8,47,36.00816
2019-01-02 12:00:00,2019-01,01-02,수,12,-2.8,29,39.08112
2019-01-03 12:00:00,2019-01,01-03,목,12,-0.4,26,42.15504
2019-01-04 12:00:00,2019-01,01-04,금,12,-0.4,34,40.97936
2019-01-05 12:00:00,2019-01,01-05,토,12,-2.0,34,39.1448
2019-01-06 12:00:00,2019-01,01-06,일,12,0.2,28,42.51344
2019-01-07 12:00:00,2019-01,01-07,월,12,0.6,33,42.26302
2019-01-08 12:00:00,2019-01,01-08,화,12,-0.9,27,41.46943
2019-01-09 12:00:00,2019-01,01-09,수,12,-2.4,25,40.187
2019-01-10 12:00:00,2019-01,01-10,목,12,2.0,36,43.4848
2019-01-11 12:00:00,2019-01,01-11,금,12,4.7,47,45.57291
2019-01-12 12:00:00,2019-01,01-12,토,12,5.7,37,47.71391
2019-01-13 12:00:00,2019-01,01-13,일,12,4.0,32,46.2312
2019-01-14 12:00:00,2019-01,01-14,월,12,3.1,56,42.52164
2019-01-15 12:00:00,2019-01,01-15,화,12,0.0,64,37.148
2019-01-16 12:00:00,2019-01,01-16,수,12,-4.6,32,36.54072
2019-01-17 12:00:00,2019-01,01-17,목,12,1.8,27,44.37814
2019-01-18 12:00:00,2019-01,01-18,금,12,4.3,26,47.17182
2019-01-19 12:00:00,2019-01,01-19,토,12,5.0,50,45.675
2019-01-20 12:00:00,2019-01,01-20,일,12,-0.4,28,41.86112
2019-01-21 12:00:00,2019-01,01-21,월,12,0.4,57,38.69872
2019-01-22 12:00:00,2019-01,01-22,화,12,5.9,52,46.68032
2019-01-23 12:00:00,2019-01,01-23,수,12,4.8,40,46.3688
2019-01-24 12:00:00,2019-01,01-24,목,12,4.0,20,47.472
2019-01-25 12:00:00,2019-01,01-25,금,12,1.2,25,43.994
2019-01-26 12:00:00,2019-01,01-26,토,12,-0.2,25,42.5135
2019-01-27 12:00:00,2019-01,01-27,일,12,3.2,30,45.5524
2019-01-28 12:00:00,2019-01,01-28,월,12,2.2,21,45.53638
2019-01-29 12:00:00,2019-01,01-29,화,12,3.5,24,46.5346
2019-01-30 12:00:00,2019-01,01-30,수,12,4.3,47,45.06279
2019-01-31 12:00:00,2019-01,01-31,목,12,-1.7,23,41.24691
2019-02-01 12:00:00,2019-02,02-01,금,12,1.1,33,42.83137
2019-02-02 12:00:00,2019-02,02-02,토,12,1.5,59,39.95415
2019-02-03 12:00:00,2019-02,02-03,일,12,4.4,96,40.31776
2019-02-04 12:00:00,2019-02,02-04,월,12,1.1,26,43.75614
2019-02-05 12:00:00,2019-02,02-05,화,12,5.9,28,48.71048
2019-02-06 12:00:00,2019-02,02-06,수,12,7.5,34,50.0375
2019-02-07 12:00:00,2019-02,02-07,목,12,-1.2,29,40.83648
2019-02-08 12:00:00,2019-02,02-08,금,12,-3.9,26,38.41914
2019-02-09 12:00:00,2019-02,02-09,토,12,-4.4,26,37.88544
2019-02-10 12:00:00,2019-02,02-10,일,12,-2.4,28,39.68672
2019-02-11 12:00:00,2019-02,02-11,월,12,-1.0,25,41.6675
2019-02-12 12:00:00,2019-02,02-12,화,12,1.5,36,42.9016
2019-02-13 12:00:00,2019-02,02-13,수,12,0.2,18,43.92364
2019-02-14 12:00:00,2019-02,02-14,목,12,2.1,21,45.43459
2019-02-15 12:00:00,2019-02,02-15,금,12,0.1,73,36.01427
2019-02-16 12:00:00,2019-02,02-16,토,12,-1.7,53,36.45201
2019-02-17 12:00:00,2019-02,02-17,일,12,0.6,32,42.40008
2019-02-18 12:00:00,2019-02,02-18,월,12,4.0,31,46.3346
2019-02-19 12:00:00,2019-02,02-19,화,12,1.3,94,35.12078
2019-02-20 12:00:00,2019-02,02-20,수,12,2.6,65,40.7841
2019-02-21 12:00:00,2019-02,02-21,목,12,5.4,49,46.28654
2019-02-22 12:00:00,2019-02,02-22,금,12,7.7,44,49.59912
2019-02-23 12:00:00,2019-02,02-23,토,12,10.7,23,54.11439
2019-02-24 12:00:00,2019-02,02-24,일,12,10.7,30,53.8549
2019-02-25 12:00:00,2019-02,02-25,월,12,6.2,48,47.40424
2019-02-26 12:00:00,2019-02,02-26,화,12,8.3,21,51.74557
2019-02-27 12:00:00,2019-02,02-27,수,12,11.6,32,54.79488
2019-02-28 12:00:00,2019-02,02-28,목,12,10.4,29,53.56284
2019-03-01 12:00:00,2019-03,03-01,금,12,10.8,30,53.9656
2019-03-02 12:00:00,2019-03,03-02,토,12,11.7,26,55.07058
2019-03-03 12:00:00,2019-03,03-03,일,12,14.0,21,57.5476
2019-03-04 12:00:00,2019-03,03-04,월,12,14.2,28,57.73424
2019-03-05 12:00:00,2019-03,03-05,화,12,10.8,54,53.09968
2019-03-06 12:00:00,2019-03,03-06,수,12,10.5,50,52.8525
2019-03-07 12:00:00,2019-03,03-07,목,12,10.3,41,52.96077
2019-03-08 12:00:00,2019-03,03-08,금,12,10.7,28,53.92904
2019-03-09 12:00:00,2019-03,03-09,토,12,10.8,22,54.25424
2019-03-10 12:00:00,2019-03,03-10,일,12,12.7,13,56.36249
2019-03-11 12:00:00,2019-03,03-11,월,12,9.3,47,51.43929
2019-03-12 12:00:00,2019-03,03-12,화,12,5.8,83,43.89486
2019-03-13 12:00:00,2019-03,03-13,수,12,6.7,23,49.96359
2019-03-14 12:00:00,2019-03,03-14,목,12,7.8,29,50.71038
2019-03-15 12:00:00,2019-03,03-15,금,12,9.2,49,51.20792
2019-03-16 12:00:00,2019-03,03-16,토,12,7.2,57,48.04396
2019-03-17 12:00:00,2019-03,03-17,일,12,8.5,37,51.00755
2019-03-18 12:00:00,2019-03,03-18,월,12,11.8,26,55.17732
2019-03-19 12:00:00,2019-03,03-19,화,12,13.6,24,57.11536
2019-03-20 12:00:00,2019-03,03-20,수,12,13.3,52,56.48384
2019-03-21 12:00:00,2019-03,03-21,목,12,9.9,78,50.80978
2019-03-22 12:00:00,2019-03,03-22,금,12,4.7,34,46.82702
2019-03-23 12:00:00,2019-03,03-23,토,12,5.4,64,44.94344
2019-03-24 12:00:00,2019-03,03-24,일,12,8.6,33,51.35662
2019-03-25 12:00:00,2019-03,03-25,월,12,9.0,50,50.895
2019-03-26 12:00:00,2019-03,03-26,화,12,14.1,30,57.6187
2019-03-27 12:00:00,2019-03,03-27,수,12,15.8,49,59.75558
2019-03-28 12:00:00,2019-03,03-28,목,12,12.5,38,55.6935
2019-03-29 12:00:00,2019-03,03-29,금,12,12.3,26,55.71102
2019-03-30 12:00:00,2019-03,03-30,토,12,7.6,69,47.78056
2019-03-31 12:00:00,2019-03,03-31,일,12,5.0,47,45.9555
2019-04-01 12:00:00,2019-04,04-01,월,12,9.2,16,52.92128
2019-04-02 12:00:00,2019-04,04-02,화,12,10.5,23,53.90685
2019-04-03 12:00:00,2019-04,04-03,수,12,12.4,25,55.838
2019-04-04 12:00:00,2019-04,04-04,목,12,13.3,33,56.69911
2019-04-05 12:00:00,2019-04,04-05,금,12,14.9,27,58.49077
2019-04-06 12:00:00,2019-04,04-06,토,12,12.0,27,55.3666
2019-04-07 12:00:00,2019-04,04-07,일,12,16.6,33,60.45022
2019-04-08 12:00:00,2019-04,04-08,월,12,14.5,18,58.0549
2019-04-09 12:00:00,2019-04,04-09,화,12,13.1,20,56.6448
2019-04-10 12:00:00,2019-04,04-10,수,12,6.9,86,45.46566
2019-04-11 12:00:00,2019-04,04-11,목,12,13.4,42,56.71972
2019-04-12 12:00:00,2019-04,04-12,금,12,15.9,31,59.62571
2019-04-13 12:00:00,2019-04,04-13,토,12,15.8,20,59.3664
2019-04-14 12:00:00,2019-04,04-14,일,12,8.1,88,47.33372
2019-04-15 12:00:00,2019-04,04-15,월,12,16.8,22,60.42104
2019-04-16 12:00:00,2019-04,04-16,화,12,19.7,15,63.03745
2019-04-17 12:00:00,2019-04,04-17,수,12,20.8,23,64.59516
2019-04-18 12:00:00,2019-04,04-18,목,12,14.5,64,58.0802
2019-04-19 12:00:00,2019-04,04-19,금,12,13.7,45,57.06535
2019-04-20 12:00:00,2019-04,04-20,토,12,17.0,53,61.4109
2019-04-21 12:00:00,2019-04,04-21,일,12,16.1,69,60.47191
2019-04-22 12:00:00,2019-04,04-22,월,12,22.9,35,67.77885
2019-04-23 12:00:00,2019-04,04-23,화,12,25.1,39,70.74511
2019-04-24 12:00:00,2019-04,04-24,수,12,21.6,62,68.18808
2019-04-25 12:00:00,2019-04,04-25,목,12,14.9,51,58.59901
2019-04-26 12:00:00,2019-04,04-26,금,12,9.6,74,50.52696
2019-04-27 12:00:00,2019-04,04-27,토,12,15.8,38,59.60796
2019-04-28 12:00:00,2019-04,04-28,일,12,15.9,39,59.74099
2019-04-29 12:00:00,2019-04,04-29,월,12,15.8,45,59.7019
2019-04-30 12:00:00,2019-04,04-30,화,12,20.1,42,64.93258
2019-05-01 12:00:00,2019-05,05-01,수,12,20.0,46,65.03
2019-05-02 12:00:00,2019-05,05-02,목,12,21.7,19,65.24177
2019-05-03 12:00:00,2019-05,05-03,금,12,23.2,23,67.08564
2019-05-04 12:00:00,2019-05,05-04,토,12,24.3,28,68.71496
2019-05-05 12:00:00,2019-05,05-05,일,12,25.2,17,68.52216
2019-05-06 12:00:00,2019-05,05-06,월,12,17.9,14,61.27794
2019-05-07 12:00:00,2019-05,05-07,화,12,20.0,27,63.985
2019-05-08 12:00:00,2019-05,05-08,수,12,19.6,38,64.11552
2019-05-09 12:00:00,2019-05,05-09,목,12,20.9,23,64.69893
2019-05-10 12:00:00,2019-05,05-10,금,12,23.5,30,68.0245
2019-05-11 12:00:00,2019-05,05-11,토,12,24.8,32,69.66864
2019-05-12 12:00:00,2019-05,05-12,일,12,25.6,30,70.3492
2019-05-13 12:00:00,2019-05,05-13,월,12,22.2,35,66.9693
2019-05-14 12:00:00,2019-05,05-14,화,12,24.1,30,68.6887
2019-05-15 12:00:00,2019-05,05-15,수,12,24.4,35,69.5136
2019-05-16 12:00:00,2019-05,05-16,목,12,28.3,32,73.61244
2019-05-17 12:00:00,2019-05,05-17,금,12,27.1,33,72.38557
2019-05-18 12:00:00,2019-05,05-18,토,12,23.9,43,69.68423
2019-05-19 12:00:00,2019-05,05-19,일,12,18.7,96,65.49148
2019-05-20 12:00:00,2019-05,05-20,월,12,18.3,42,62.72614
2019-05-21 12:00:00,2019-05,05-21,화,12,21.4,34,65.97524
2019-05-22 12:00:00,2019-05,05-22,수,12,23.9,28,68.28008
2019-05-23 12:00:00,2019-05,05-23,목,12,25.4,39,71.10394
2019-05-24 12:00:00,2019-05,05-24,금,12,28.8,33,74.31796
2019-05-25 12:00:00,2019-05,05-25,토,12,26.3,27,70.77199
2019-05-26 12:00:00,2019-05,05-26,일,12,29.5,24,73.7722
2019-05-27 12:00:00,2019-05,05-27,월,12,19.2,95,66.3246
2019-05-28 12:00:00,2019-05,05-28,화,12,21.7,35,66.39105
2019-05-29 12:00:00,2019-05,05-29,수,12,24.2,34,69.18572
2019-05-30 12:00:00,2019-05,05-30,목,12,23.9,35,68.93535
2019-05-31 12:00:00,2019-05,05-31,금,12,22.7,38,67.79274
2019-06-01 12:00:00,2019-06,06-01,토,12,21.3,51,67.01437
2019-06-02 12:00:00,2019-06,06-02,일,12,26.2,22,70.08236
2019-06-03 12:00:00,2019-06,06-03,월,12,26.4,39,72.30004
2019-06-04 12:00:00,2019-06,06-04,화,12,27.8,37,73.71014
2019-06-05 12:00:00,2019-06,06-05,수,12,27.2,47,74.26716
2019-06-06 12:00:00,2019-06,06-06,목,12,23.8,59,71.04258
2019-06-07 12:00:00,2019-06,06-07,금,12,19.8,91,67.16282
2019-06-08 12:00:00,2019-06,06-08,토,12,26.0,35,71.364
2019-06-09 12:00:00,2019-06,06-09,일,12,25.6,51,72.66844
2019-06-10 12:00:00,2019-06,06-10,월,12,19.3,68,65.20176
2019-06-11 12:00:00,2019-06,06-11,화,12,23.5,39,68.83135
2019-06-12 12:00:00,2019-06,06-12,수,12,25.8,46,72.36932
2019-06-13 12:00:00,2019-06,06-13,목,12,26.8,38,72.65616
2019-06-14 12:00:00,2019-06,06-14,금,12,24.9,46,71.23046
2019-06-15 12:00:00,2019-06,06-15,토,12,25.1,50,71.9055
2019-06-16 12:00:00,2019-06,06-16,일,12,25.5,41,71.44245
2019-06-17 12:00:00,2019-06,06-17,월,12,24.0,48,70.2808
2019-06-18 12:00:00,2019-06,06-18,화,12,23.4,58,70.39628
2019-06-19 12:00:00,2019-06,06-19,수,12,23.2,65,70.7262
2019-06-20 12:00:00,2019-06,06-20,목,12,24.8,57,72.23164
2019-06-21 12:00:00,2019-06,06-21,금,12,23.4,65,71.0169
2019-06-22 12:00:00,2019-06,06-22,토,12,27.1,32,72.26028
2019-06-23 12:00:00,2019-06,06-23,일,12,28.0,34,73.5428
2019-06-24 12:00:00,2019-06,06-24,월,12,29.0,36,74.9776
2019-06-25 12:00:00,2019-06,06-25,화,12,29.4,36,75.44416
2019-06-26 12:00:00,2019-06,06-26,수,12,27.3,51,74.90377
2019-06-27 12:00:00,2019-06,06-27,목,12,28.2,56,76.76808
2019-06-28 12:00:00,2019-06,06-28,금,12,25.3,71,74.42337
2019-06-29 12:00:00,2019-06,06-29,토,12,23.7,69,71.81947
2019-06-30 12:00:00,2019-06,06-30,일,12,27.0,53,74.7579
